,Date,variable,value
365,2021-03-28,Age-0to17,4
366,2021-03-29,Age-0to17,4
367,2021-03-30,Age-0to17,4
368,2021-03-31,Age-0to17,4
369,2021-04-01,Age-0to17,4
370,2021-04-02,Age-0to17,4
371,2021-04-03,Age-0to17,4
372,2021-04-04,Age-0to17,4
373,2021-04-05,Age-0to17,4
374,2021-04-06,Age-0to17,4
375,2021-04-07,Age-0to17,4
376,2021-04-08,Age-0to17,5
377,2021-04-09,Age-0to17,5
378,2021-04-10,Age-0to17,5
379,2021-04-11,Age-0to17,5
380,2021-04-12,Age-0to17,5
381,2021-04-13,Age-0to17,5
382,2021-04-14,Age-0to17,5
383,2021-04-15,Age-0to17,5
384,2021-04-16,Age-0to17,5
385,2021-04-17,Age-0to17,5
386,2021-04-18,Age-0to17,5
387,2021-04-19,Age-0to17,5
388,2021-04-20,Age-0to17,5
389,2021-04-21,Age-0to17,5
390,2021-04-22,Age-0to17,5
391,2021-04-23,Age-0to17,5
392,2021-04-24,Age-0to17,5
393,2021-04-25,Age-0to17,5
394,2021-04-26,Age-0to17,5
395,2021-04-27,Age-0to17,5
396,2021-04-28,Age-0to17,5
397,2021-04-29,Age-0to17,5
398,2021-04-30,Age-0to17,5
399,2021-05-01,Age-0to17,5
400,2021-05-02,Age-0to17,5
401,2021-05-03,Age-0to17,5
402,2021-05-04,Age-0to17,5
403,2021-05-05,Age-0to17,5
404,2021-05-06,Age-0to17,5
405,2021-05-07,Age-0to17,5
406,2021-05-08,Age-0to17,5
407,2021-05-09,Age-0to17,5
408,2021-05-10,Age-0to17,5
409,2021-05-11,Age-0to17,5
410,2021-05-12,Age-0to17,5
411,2021-05-13,Age-0to17,5
412,2021-05-14,Age-0to17,5
413,2021-05-15,Age-0to17,5
414,2021-05-16,Age-0to17,5
415,2021-05-17,Age-0to17,5
416,2021-05-18,Age-0to17,5
417,2021-05-19,Age-0to17,5
418,2021-05-20,Age-0to17,5
419,2021-05-21,Age-0to17,5
420,2021-05-22,Age-0to17,5
421,2021-05-23,Age-0to17,5
422,2021-05-24,Age-0to17,5
423,2021-05-25,Age-0to17,5
424,2021-05-26,Age-0to17,5
425,2021-05-27,Age-0to17,5
426,2021-05-28,Age-0to17,5
427,2021-05-29,Age-0to17,5
428,2021-05-30,Age-0to17,5
429,2021-05-31,Age-0to17,5
430,2021-06-01,Age-0to17,5
