Date,variable,Cumulative Confirmed Case Count,Newly Confirmed Case Count
5/10/20,Age-18to64,23869,470
5/11/20,Age-18to64,24626,757
5/12/20,Age-18to64,25518,892
5/13/20,Age-18to64,26267,749
5/14/20,Age-18to64,26898,631
5/15/20,Age-18to64,27813,915
5/16/20,Age-18to64,28312,499
5/17/20,Age-18to64,28668,356
5/18/20,Age-18to64,29555,887
5/19/20,Age-18to64,30581,1026
5/20/20,Age-18to64,31474,893
5/21/20,Age-18to64,32176,702
5/22/20,Age-18to64,32946,770
5/23/20,Age-18to64,33619,673
5/24/20,Age-18to64,34528,909
5/25/20,Age-18to64,35972,1444
5/26/20,Age-18to64,36676,704
5/27/20,Age-18to64,37494,818
5/28/20,Age-18to64,38988,1494
5/29/20,Age-18to64,40544,1556
5/30/20,Age-18to64,41713,1169
5/31/20,Age-18to64,42486,773
6/1/20,Age-18to64,43375,889
6/2/20,Age-18to64,44309,934
6/3/20,Age-18to64,45398,1089
6/4/20,Age-18to64,46509,1111
6/5/20,Age-18to64,47524,1015
6/6/20,Age-18to64,48762,1238
6/7/20,Age-18to64,49420,658
6/8/20,Age-18to64,50325,905
6/9/20,Age-18to64,51290,965
6/10/20,Age-18to64,52730,1440
6/11/20,Age-18to64,54040,1310
6/12/20,Age-18to64,55190,1150
6/13/20,Age-18to64,56025,835
6/14/20,Age-18to64,56670,645
6/15/20,Age-18to64,57678,1008
6/16/20,Age-18to64,59240,1562
6/17/20,Age-18to64,60127,887
6/18/20,Age-18to64,61228,1101
6/19/20,Age-18to64,62810,1582
6/20/20,Age-18to64,64274,1464
6/21/20,Age-18to64,66324,2050
6/22/20,Age-18to64,68151,1827
6/23/20,Age-18to64,68901,750
6/24/20,Age-18to64,70811,1910
6/25/20,Age-18to64,72230,1419
6/26/20,Age-18to64,73908,1678
6/27/20,Age-18to64,76036,2128
6/28/20,Age-18to64,78446,2410
6/29/20,Age-18to64,80772,2326
6/30/20,Age-18to64,82110,1338
7/1/20,Age-18to64,84020,1910
7/2/20,Age-18to64,84020,0
7/3/20,Age-18to64,84020,0
7/4/20,Age-18to64,90286,6266
7/5/20,Age-18to64,91595,1309
7/6/20,Age-18to64,94857,3262
7/7/20,Age-18to64,96873,2016
7/8/20,Age-18to64,98344,1471
7/9/20,Age-18to64,100310,1966
7/10/20,Age-18to64,102652,2342
7/11/20,Age-18to64,105701,3049
7/12/20,Age-18to64,107827,2126
7/13/20,Age-18to64,111036,3209
7/14/20,Age-18to64,113389,2353
7/15/20,Age-18to64,116962,3573
7/16/20,Age-18to64,119389,2427
7/17/20,Age-18to64,121500,2111
7/18/20,Age-18to64,123970,2470
7/19/20,Age-18to64,126552,2582
7/20/20,Age-18to64,128810,2258
7/21/20,Age-18to64,131021,2211
7/22/20,Age-18to64,132450,1429
7/23/20,Age-18to64,132450,0
7/24/20,Age-18to64,132450,0
7/25/20,Age-18to64,132450,0
7/26/20,Age-18to64,132450,0
7/27/20,Age-18to64,139567,7117
7/28/20,Age-18to64,143188,3621
7/29/20,Age-18to64,145246,2058
7/30/20,Age-18to64,147255,2009
7/31/20,Age-18to64,148932,1677
8/1/20,Age-18to64,150035,1103
8/2/20,Age-18to64,151235,1200
8/3/20,Age-18to64,152627,1392
8/4/20,Age-18to64,154278,1651
8/5/20,Age-18to64,156794,2516
8/6/20,Age-18to64,159073,2279
8/7/20,Age-18to64,161073,2000
8/8/20,Age-18to64,162400,1327
8/9/20,Age-18to64,163799,1399
8/10/20,Age-18to64,164766,967
8/11/20,Age-18to64,166310,1544
8/12/20,Age-18to64,168149,1839
8/13/20,Age-18to64,169916,1767
8/14/20,Age-18to64,171379,1463
8/15/20,Age-18to64,172461,1082
8/16/20,Age-18to64,173346,885
8/17/20,Age-18to64,173953,607
8/18/20,Age-18to64,175279,1326
8/19/20,Age-18to64,176646,1367
8/20/20,Age-18to64,177908,1262
8/21/20,Age-18to64,179114,1206
8/22/20,Age-18to64,179957,843
8/23/20,Age-18to64,180864,907
8/24/20,Age-18to64,181523,659
8/25/20,Age-18to64,181639,116
8/26/20,Age-18to64,184049,2410
8/27/20,Age-18to64,185168,1119
8/28/20,Age-18to64,186082,914
8/29/20,Age-18to64,186911,829
8/30/20,Age-18to64,187587,676
8/31/20,Age-18to64,188191,604
9/1/20,Age-18to64,189214,1023
9/2/20,Age-18to64,190099,885
9/3/20,Age-18to64,191209,1110
9/4/20,Age-18to64,192061,852
9/5/20,Age-18to64,192691,630
9/6/20,Age-18to64,193069,378
9/7/20,Age-18to64,193388,319
9/8/20,Age-18to64,193845,457
9/9/20,Age-18to64,194754,909
9/10/20,Age-18to64,195531,777
9/11/20,Age-18to64,196354,823
9/12/20,Age-18to64,196935,581
9/13/20,Age-18to64,197461,526
9/14/20,Age-18to64,197868,407
9/15/20,Age-18to64,198695,827
9/16/20,Age-18to64,199532,837
9/17/20,Age-18to64,200450,918
9/18/20,Age-18to64,201414,964
9/19/20,Age-18to64,202303,889
9/20/20,Age-18to64,202780,477
9/21/20,Age-18to64,203310,530
9/22/20,Age-18to64,204180,870
9/23/20,Age-18to64,205089,909
9/24/20,Age-18to64,206079,990
9/25/20,Age-18to64,206994,915
9/26/20,Age-18to64,207658,664
9/27/20,Age-18to64,208178,520
9/28/20,Age-18to64,208777,599
9/29/20,Age-18to64,209611,834
9/30/20,Age-18to64,210410,799
10/1/20,Age-18to64,211364,954
10/2/20,Age-18to64,212086,722
10/3/20,Age-18to64,212882,796
10/4/20,Age-18to64,213166,284
10/5/20,Age-18to64,213851,685
10/6/20,Age-18to64,215023,1172
10/7/20,Age-18to64,215959,936
10/8/20,Age-18to64,216858,899
10/9/20,Age-18to64,217752,894
10/10/20,Age-18to64,218661,909
10/11/20,Age-18to64,219291,630
10/12/20,Age-18to64,219853,562
10/13/20,Age-18to64,220794,941
10/14/20,Age-18to64,221657,863
10/15/20,Age-18to64,222414,757
10/16/20,Age-18to64,223103,689
10/17/20,Age-18to64,223456,353
10/18/20,Age-18to64,224184,728
10/19/20,Age-18to64,224640,456
10/20/20,Age-18to64,224930,290
10/21/20,Age-18to64,227740,2810
10/22/20,Age-18to64,229766,2026
10/23/20,Age-18to64,231301,1535
10/24/20,Age-18to64,232065,764
10/25/20,Age-18to64,232065,0
10/26/20,Age-18to64,232065,0
10/27/20,Age-18to64,234758,2693
10/28/20,Age-18to64,236059,1301
10/29/20,Age-18to64,236993,934
10/30/20,Age-18to64,237948,955
10/31/20,Age-18to64,239084,1136
11/1/20,Age-18to64,240151,1067
11/2/20,Age-18to64,241068,917
11/3/20,Age-18to64,242399,1331
11/4/20,Age-18to64,244198,1799
11/5/20,Age-18to64,245760,1562
11/6/20,Age-18to64,247604,1844
11/7/20,Age-18to64,249228,1624
11/8/20,Age-18to64,250316,1088
11/9/20,Age-18to64,251960,1644
11/10/20,Age-18to64,253497,1537
11/11/20,Age-18to64,255684,2187
11/12/20,Age-18to64,257516,1832
11/13/20,Age-18to64,260284,2768
11/14/20,Age-18to64,262689,2405
11/15/20,Age-18to64,264808,2119
11/16/20,Age-18to64,266416,1608
11/17/20,Age-18to64,269195,2779
11/18/20,Age-18to64,272915,3720
11/19/20,Age-18to64,276526,3611
11/20/20,Age-18to64,279782,3256
11/21/20,Age-18to64,281850,2068
11/22/20,Age-18to64,286490,4640
11/23/20,Age-18to64,289078,2588
11/24/20,Age-18to64,292092,3014
11/25/20,Age-18to64,295952,3860
11/26/20,Age-18to64,299435,3483
11/27/20,Age-18to64,301838,2403
11/28/20,Age-18to64,305807,3969
11/29/20,Age-18to64,309736,3929
11/30/20,Age-18to64,315138,5402
12/1/20,Age-18to64,319179,4041
12/2/20,Age-18to64,325893,6714
12/3/20,Age-18to64,331256,5363
12/4/20,Age-18to64,337890,6634
12/5/20,Age-18to64,347255,9365
12/6/20,Age-18to64,353264,6009
12/7/20,Age-18to64,359460,6196
12/8/20,Age-18to64,365654,6194
12/9/20,Age-18to64,375158,9504
12/10/20,Age-18to64,385391,10233
12/11/20,Age-18to64,393666,8275
12/12/20,Age-18to64,404767,11101
12/13/20,Age-18to64,410210,5443
12/14/20,Age-18to64,418298,8088
12/15/20,Age-18to64,434519,16221
12/16/20,Age-18to64,446250,11731
12/17/20,Age-18to64,457920,11670
12/18/20,Age-18to64,467755,9835
12/19/20,Age-18to64,478847,11092
12/20/20,Age-18to64,487160,8313
